序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型,代码,名称
2,国信证券股份有限公司深圳红岭中路证券营业部,16370327.52,0.021221495636,9748786.65,0.012637733307,6621540.87,当日换手率达到20%的前5只股票,920161,龙辰科技
3,机构专用,13378080.85,0.017342529282,18197825.43,0.023590552631,-4819744.58,当日换手率达到20%的前5只股票,920161,龙辰科技
4,国金证券股份有限公司深圳分公司,11695061.47,0.015160765455,8843770.61,0.011464525629,2851290.86,当日换手率达到20%的前5只股票,920161,龙辰科技
5,平安证券股份有限公司浙江分公司,11677806.93,0.01513839772,335405.61,0.000434799406,11342401.32,当日换手率达到20%的前5只股票,920161,龙辰科技
1,机构专用,23030010.96,0.029854703669,27315852.52,0.035410607658,-4285841.56,当日换手率达到20%的前5只股票,920161,龙辰科技
2,机构专用,13378080.85,0.017342529282,18197825.43,0.023590552631,-4819744.58,当日换手率达到20%的前5只股票,920161,龙辰科技
3,国信证券股份有限公司深圳红岭中路证券营业部,16370327.52,0.021221495636,9748786.65,0.012637733307,6621540.87,当日换手率达到20%的前5只股票,920161,龙辰科技
4,东方财富证券股份有限公司拉萨东环路第二证券营业部,8222649.83,0.010659342476,9017485.25,0.011689718709,-794835.42,当日换手率达到20%的前5只股票,920161,龙辰科技
5,国金证券股份有限公司上海奉贤区金碧路证券营业部,2966639.81,0.00384577118,8853507.95,0.011477148523,-5886868.14,当日换手率达到20%的前5只股票,920161,龙辰科技
1,国金证券股份有限公司深圳分公司,8256942.71,0.034997589147,5978323.71,0.025339514193,2278619.0,当日换手率达到20%的前5只股票,920218,新天力
2,机构专用,5151223.54,0.021833796284,5213788.83,0.022098983338,-62565.29,当日换手率达到20%的前5只股票,920218,新天力
3,国信证券股份有限公司浙江分公司,3273901.27,0.013876643641,1213815.43,0.005144835711,2060085.84,当日换手率达到20%的前5只股票,920218,新天力
4,国投证券股份有限公司河源龙川证券营业部,2748910.89,0.011651437742,0.0,0.0,2748910.89,当日换手率达到20%的前5只股票,920218,新天力
5,华林证券股份有限公司西藏分公司,2705119.88,0.011465826696,224850.71,0.000953044371,2480269.17,当日换手率达到20%的前5只股票,920218,新天力
1,国金证券股份有限公司深圳分公司,8256942.71,0.034997589147,5978323.71,0.025339514193,2278619.0,当日换手率达到20%的前5只股票,920218,新天力
2,机构专用,5151223.54,0.021833796284,5213788.83,0.022098983338,-62565.29,当日换手率达到20%的前5只股票,920218,新天力
3,东方财富证券股份有限公司拉萨东环路第二证券营业部,2323161.18,0.009846869883,4946243.05,0.020964973134,-2623081.87,当日换手率达到20%的前5只股票,920218,新天力
4,国信证券股份有限公司深圳红岭中路证券营业部,2227281.9,0.009440479314,3035890.48,0.012867819415,-808608.58,当日换手率达到20%的前5只股票,920218,新天力
5,东方财富证券股份有限公司拉萨团结路第二证券营业部,1561481.96,0.006618442929,3004626.41,0.012735304619,-1443144.45,当日换手率达到20%的前5只股票,920218,新天力
1,国信证券股份有限公司深圳互联网分公司,42306030.15,0.042993356339,26266151.59,0.02669288541,16039878.56,当日价格振幅达到30%的前5只股票,920725,惠丰钻石
2,国金证券股份有限公司深圳分公司,38303482.66,0.038925781341,46793941.07,0.047554180239,-8490458.41,当日价格振幅达到30%的前5只股票,920725,惠丰钻石
3,机构专用,13990420.21,0.014217715992,4170455.07,0.004238210494,9819965.14,当日价格振幅达到30%的前5只股票,920725,惠丰钻石
4,中泰证券股份有限公司杭州湖墅南路证券营业部,11473293.27,0.011659694474,11462358.65,0.011648582204,10934.62,当日价格振幅达到30%的前5只股票,920725,惠丰钻石
5,东方财富证券股份有限公司拉萨金融城南环路证券营业部,10423692.4,0.010593041232,11544105.59,0.011731657248,-1120413.19,当日价格振幅达到30%的前5只股票,920725,惠丰钻石
1,国金证券股份有限公司深圳分公司,38303482.66,0.038925781341,46793941.07,0.047554180239,-8490458.41,当日价格振幅达到30%的前5只股票,920725,惠丰钻石
2,国信证券股份有限公司深圳互联网分公司,42306030.15,0.042993356339,26266151.59,0.02669288541,16039878.56,当日价格振幅达到30%的前5只股票,920725,惠丰钻石
3,财通证券股份有限公司宁波天童南路证券营业部,0.0,0.0,24257113.03,0.024651206945,-24257113.03,当日价格振幅达到30%的前5只股票,920725,惠丰钻石
4,国泰海通证券股份有限公司云南丽江福慧路营业部,0.0,0.0,16682373.22,0.016953403897,-16682373.22,当日价格振幅达到30%的前5只股票,920725,惠丰钻石
5,华泰证券股份有限公司南京广州路证券营业部,675569.07,0.000686544723,14439091.08,0.014673676207,-13763522.01,当日价格振幅达到30%的前5只股票,920725,惠丰钻石
1,国信证券股份有限公司深圳互联网分公司,29597460.96,0.058291611787,23634655.39,0.046547984592,5962805.57,当日换手率达到20%的前5只股票,920981,晶赛科技
2,机构专用,22866294.27,0.045034712619,0.0,0.0,22866294.27,当日换手率达到20%的前5只股票,920981,晶赛科技
3,国金证券股份有限公司深圳分公司,7935037.75,0.015627899321,2976410.06,0.005861980525,4958627.69,当日换手率达到20%的前5只股票,920981,晶赛科技
4,东方财富证券股份有限公司拉萨金融城南环路证券营业部,7247419.93,0.014273649675,2975111.4,0.00585942284,4272308.53,当日换手率达到20%的前5只股票,920981,晶赛科技
5,东方财富证券股份有限公司拉萨东环路第二证券营业部,6778115.74,0.01334936439,3344312.96,0.006586557983,3433802.78,当日换手率达到20%的前5只股票,920981,晶赛科技
6,国信证券股份有限公司深圳互联网分公司,29597460.96,0.058291611787,23634655.39,0.046547984592,5962805.57,当日收盘价涨幅达到20%的前5只股票,920981,晶赛科技
7,机构专用,22866294.27,0.045034712619,0.0,0.0,22866294.27,当日收盘价涨幅达到20%的前5只股票,920981,晶赛科技
8,国金证券股份有限公司深圳分公司,7935037.75,0.015627899321,2976410.06,0.005861980525,4958627.69,当日收盘价涨幅达到20%的前5只股票,920981,晶赛科技
9,东方财富证券股份有限公司拉萨金融城南环路证券营业部,7247419.93,0.014273649675,2975111.4,0.00585942284,4272308.53,当日收盘价涨幅达到20%的前5只股票,920981,晶赛科技
10,东方财富证券股份有限公司拉萨东环路第二证券营业部,6778115.74,0.01334936439,3344312.96,0.006586557983,3433802.78,当日收盘价涨幅达到20%的前5只股票,920981,晶赛科技
1,国信证券股份有限公司深圳互联网分公司,29597460.96,0.058291611787,23634655.39,0.046547984592,5962805.57,当日换手率达到20%的前5只股票,920981,晶赛科技
2,国投证券股份有限公司合肥创新大道证券营业部,0.0,0.0,18351736.44,0.036143380597,-18351736.44,当日换手率达到20%的前5只股票,920981,晶赛科技
3,中信建投证券股份有限公司上海营口路证券营业部,1841900.22,0.003627585918,12413655.98,0.024448449015,-10571755.76,当日换手率达到20%的前5只股票,920981,晶赛科技
4,东方财富证券股份有限公司拉萨团结路第一证券营业部,6427955.84,0.012659731418,8649915.56,0.017035836976,-2221959.72,当日换手率达到20%的前5只股票,920981,晶赛科技
5,国信证券股份有限公司深圳红岭中路证券营业部,2180069.33,0.004293603266,7492529.07,0.01475638726,-5312459.74,当日换手率达到20%的前5只股票,920981,晶赛科技
6,国信证券股份有限公司深圳互联网分公司,29597460.96,0.058291611787,23634655.39,0.046547984592,5962805.57,当日收盘价涨幅达到20%的前5只股票,920981,晶赛科技
7,国投证券股份有限公司合肥创新大道证券营业部,0.0,0.0,18351736.44,0.036143380597,-18351736.44,当日收盘价涨幅达到20%的前5只股票,920981,晶赛科技
8,中信建投证券股份有限公司上海营口路证券营业部,1841900.22,0.003627585918,12413655.98,0.024448449015,-10571755.76,当日收盘价涨幅达到20%的前5只股票,920981,晶赛科技
9,东方财富证券股份有限公司拉萨团结路第一证券营业部,6427955.84,0.012659731418,8649915.56,0.017035836976,-2221959.72,当日收盘价涨幅达到20%的前5只股票,920981,晶赛科技
10,国信证券股份有限公司深圳红岭中路证券营业部,2180069.33,0.004293603266,7492529.07,0.01475638726,-5312459.74,当日收盘价涨幅达到20%的前5只股票,920981,晶赛科技
1,国信证券股份有限公司深圳互联网分公司,29597460.96,0.058291611787,23634655.39,0.046547984592,5962805.57,当日换手率达到20%的前5只股票,920981,晶赛科技
2,机构专用,22866294.27,0.045034712619,0.0,0.0,22866294.27,当日换手率达到20%的前5只股票,920981,晶赛科技
3,国金证券股份有限公司深圳分公司,7935037.75,0.015627899321,2976410.06,0.005861980525,4958627.69,当日换手率达到20%的前5只股票,920981,晶赛科技
4,东方财富证券股份有限公司拉萨金融城南环路证券营业部,7247419.93,0.014273649675,2975111.4,0.00585942284,4272308.53,当日换手率达到20%的前5只股票,920981,晶赛科技
5,东方财富证券股份有限公司拉萨东环路第二证券营业部,6778115.74,0.01334936439,3344312.96,0.006586557983,3433802.78,当日换手率达到20%的前5只股票,920981,晶赛科技
6,国信证券股份有限公司深圳互联网分公司,29597460.96,0.058291611787,23634655.39,0.046547984592,5962805.57,当日收盘价涨幅达到20%的前5只股票,920981,晶赛科技
7,机构专用,22866294.27,0.045034712619,0.0,0.0,22866294.27,当日收盘价涨幅达到20%的前5只股票,920981,晶赛科技
8,国金证券股份有限公司深圳分公司,7935037.75,0.015627899321,2976410.06,0.005861980525,4958627.69,当日收盘价涨幅达到20%的前5只股票,920981,晶赛科技
